HOSTNAME; STATUS; ATIVO; IP; REDE; SO; DOMINIO; OU
NO00064106; Ligado - 0; True; 10.24.198.36; 255.255.255.0 64 255.255.248.0 64; Windows 7 Enterprise; petrobras.biz; CN=NO00064106,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00059158; Desligado - 1; True; 10.24.198.36; 255.255.255.0 64 255.255.248.0 64; Windows 7 Enterprise; petrobras.biz; CN=NO00059158,OU=TIC,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00044458; Ligado - 0; True; 10.24.238.67; 255.255.248.0 64; Windows 7 Enterprise; petrobras.biz; CN=NO00044458,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00059345; Desligado - 1; True; 10.24.238.67; 255.255.248.0 64; Windows 7 Enterprise; petrobras.biz; CN=NO00059345,OU=TIC,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00081573; Desligado - 1; True; 10.24.238.67; 255.255.248.0 64; Windows 10 Enterprise; petrobras.biz; CN=NO00081573,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00076788; Desligado - 1; True; 10.24.238.67; 255.255.248.0 64; Windows 10 Enterprise; petrobras.biz; CN=NO00076788,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00053337; Desligado - 1; True; 10.24.238.67; 255.255.248.0 64; Windows 7 Enterprise; petrobras.biz; CN=NO00053337,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00066669; Desligado - DNS_ERRO; True; 10.24.212.57; 255.255.255.0 64 255.255.248.0 64; Windows 7 Enterprise; petrobras.biz; CN=NO00066669,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00082048; Desligado - 1; True; 10.24.212.57; 255.255.255.0 64 255.255.248.0 64; Windows 7 Enterprise; petrobras.biz; CN=NO00082048,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00051367; Desligado - 1; True; 10.24.212.57; 255.255.255.0 64 255.255.248.0 64; Windows 7 Enterprise; petrobras.biz; CN=NO00051367,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00094702; Desligado - 1; True; 10.24.212.57; 255.255.255.0 64 255.255.248.0 64; Windows 10 Enterprise; petrobras.biz; CN=NO00094702,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00057722; Desligado - 1; True; 10.24.212.57; 255.255.255.0 64 255.255.248.0 64; Windows 7 Enterprise; petrobras.biz; CN=NO00057722,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00066597; Desligado - 1; True; 10.24.212.57; 255.255.255.0 64 255.255.248.0 64; Windows 7 Enterprise; petrobras.biz; CN=NO00066597,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00048983; Desligado - 1; True; 10.24.212.57; 255.255.255.0 64 255.255.248.0 64; Windows 7 Enterprise; petrobras.biz; CN=NO00048983,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO000539000; Desligado - 1; True; 10.24.212.57; 255.255.255.0 64 255.255.248.0 64; Windows 7 Enterprise; petrobras.biz; CN=NO000539000,OU=TIC,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00062994; Desligado - 1; True; 10.24.212.57; 255.255.255.0 64 255.255.248.0 64; Windows 7 Enterprise; petrobras.biz; CN=NO00062994,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00052381; Desligado - 1; True; 10.24.212.57; 255.255.255.0 64 255.255.248.0 64; Windows 10 Enterprise; petrobras.biz; CN=NO00052381,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00070448; Desligado - 1; True; 10.24.212.57; 255.255.255.0 64 255.255.248.0 64; Windows 7 Enterprise; petrobras.biz; CN=NO00070448,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00069418; Desligado - 1; True; 10.24.212.57; 255.255.255.0 64 255.255.248.0 64; Windows 7 Enterprise; petrobras.biz; CN=NO00069418,OU=TIC,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00071964; Desligado - 1; True; 10.24.212.57; 255.255.255.0 64 255.255.248.0 64; Windows 7 Enterprise; petrobras.biz; CN=NO00071964,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00043853; Desligado - 1; True; 10.24.212.57; 255.255.255.0 64 255.255.248.0 64; Windows 7 Enterprise; petrobras.biz; CN=NO00043853,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00068223; Desligado - 1; True; 10.24.212.57; 255.255.255.0 64 255.255.248.0 64; Windows 7 Enterprise; transp.biz; CN=NO00068223,OU=SEDE-RJ,OU=TIC-RIO,OU=Notebooks,DC=transp,DC=biz
NO00080913; Desligado - 1; True; 10.24.212.57; 255.255.255.0 64 255.255.248.0 64; Windows 7 Enterprise; petrobras.biz; CN=NO00080913,OU=UO-RIO,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00051071; Desligado - 1; True; 10.24.212.57; 255.255.255.0 64 255.255.248.0 64; Windows 7 Enterprise; petrobras.biz; CN=NO00051071,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00063406; Ligado - 0; True; 10.24.237.13; 255.255.248.0 64; Windows 7 Enterprise; petrobras.biz; CN=NO00063406,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00066588; Ligado - 0; True; 10.24.160.134; 255.255.255.0 64 255.255.248.0 64; Windows 7 Enterprise; petrobras.biz; CN=NO00066588,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00076469; Desligado - 1; True; 10.24.160.134; 255.255.255.0 64 255.255.248.0 64; Windows 7 Enterprise; petrobras.biz; CN=NO00076469,OU=TIC,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00086773; Desligado - 1; True; 10.24.160.134; 255.255.255.0 64 255.255.248.0 64; Windows 7 Enterprise; petrobras.biz; CN=NO00086773,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00050104; Desligado - 1; True; 10.24.160.134; 255.255.255.0 64 255.255.248.0 64; Windows 7 Enterprise; petrobras.biz; CN=NO00050104,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00046512; Desligado - 1; True; 10.24.160.134; 255.255.255.0 64 255.255.248.0 64; Windows 7 Enterprise; petrobras.biz; CN=NO00046512,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00051215; Desligado - 1; True; 10.24.160.134; 255.255.255.0 64 255.255.248.0 64; Windows 7 Enterprise; petrobras.biz; CN=NO00051215,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00058394; Ligado - 0; True; 10.24.236.154; 255.255.248.0 64; Windows 7 Enterprise; petrobras.biz; CN=NO00058394,OU=CENPES,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00089443; Desligado - 1; True; 10.24.236.154; 255.255.248.0 64; Windows 10 Enterprise; petrobras.biz; CN=NO00089443,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00044961; Desligado - 1; True; 10.24.236.154; 255.255.248.0 64; Windows 7 Enterprise; petrobras.biz; CN=NO00044961,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00058806; Desligado - 1; True; 10.24.236.154; 255.255.248.0 64; Windows 7 Enterprise; petrobras.biz; CN=NO00058806,OU=TIC,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00085475; Desligado - 1; True; 10.24.236.154; 255.255.248.0 64; Windows 7 Enterprise; petrobras.biz; CN=NO00085475,OU=TIC,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00069694; Ligado - 0; True; 10.24.238.223; 255.255.248.0 64; Windows 7 Enterprise; petrobras.biz; CN=NO00069694,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00076783; Desligado - 1; True; 10.24.238.223; 255.255.248.0 64; Windows 7 Enterprise; petrobras.biz; CN=NO00076783,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00072015; Ligado - 0; True; 10.24.140.43; 255.255.255.0 64 255.255.248.0 64; Windows 7 Enterprise; petrobras.biz; CN=NO00072015,OU=COMPERJ,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00084458; Ligado - 0; True; 10.24.232.120; 255.255.248.0 64; Windows 7 Enterprise; petrobras.biz; CN=NO00084458,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00089447; Desligado - 1; True; 10.24.232.120; 255.255.248.0 64; Windows 10 Enterprise; petrobras.biz; CN=NO00089447,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00048255; Ligado - 0; True; 10.24.204.149; 255.255.255.0 64; Windows 7 Enterprise; petrobras.biz; CN=NO00048255,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00061343; Desligado - 1; True; 10.24.204.149; 255.255.255.0 64; Windows 7 Enterprise; petrobras.biz; CN=NO00061343,OU=TIC,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00049141; Ligado - 0; True; 10.24.232.178; 255.255.248.0 64; Windows 7 Enterprise; petrobras.biz; CN=NO00049141,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00047144; Desligado - DNS_ERRO; True; 10.24.211.108; 255.255.248.0 64; Windows 10 Enterprise; petrobras.biz; CN=NO00047144,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00087676; Ligado - 0; True; 10.24.234.0; 255.255.248.0 64; Windows 7 Enterprise; petrobras.biz; CN=NO00087676,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00070928; Ligado - 0; True; 10.24.236.225; 255.255.248.0 64 255.255.255.0 64; Windows 7 Enterprise; petrobras.biz; CN=NO00070928,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00082112; Ligado - 0; True; 10.24.232.64; 255.255.255.0 64 255.255.248.0 64; Windows 7 Enterprise; petrobras.biz; CN=NO00082112,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00089354; Desligado - 1; True; 10.24.232.64; 255.255.255.0 64 255.255.248.0 64; Windows 10 Enterprise; petrobras.biz; CN=NO00089354,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00060147; Desligado - DNS_ERRO; True; 10.24.209.109; 255.255.248.0 64; Windows 7 Enterprise; petrobras.biz; CN=NO00060147,OU=REDUC,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00046902; Desligado - 1; True; 10.24.209.109; 255.255.248.0 64; Windows 7 Enterprise; petrobras.biz; CN=NO00046902,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00069983; Desligado - 1; True; 10.24.209.109; 255.255.248.0 64; Windows 7 Enterprise; petrobras.biz; CN=NO00069983,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00076810; Desligado - 1; True; 10.24.209.109; 255.255.248.0 64; Windows 7 Enterprise; petrobras.biz; CN=NO00076810,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00053492; Desligado - 1; True; 10.24.209.109; 255.255.248.0 64; Windows 7 Enterprise; petrobras.biz; CN=NO00053492,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00092005; Desligado - 1; True; 10.24.209.109; 255.255.248.0 64; Windows 10 Enterprise; petrobras.biz; CN=NO00092005,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00092862; Desligado - 1; True; 10.24.209.109; 255.255.248.0 64; Windows 10 Enterprise; petrobras.biz; CN=NO00092862,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00089352; Desligado - 1; True; 10.24.209.109; 255.255.248.0 64; Windows 10 Enterprise; petrobras.biz; CN=NO00089352,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00078932; Desligado - 1; True; 10.24.209.109; 255.255.248.0 64; Windows 7 Enterprise; petrobras.biz; CN=NO00078932,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00089359; Desligado - DNS_ERRO; True; 10.28.38.63; ; Windows 10 Enterprise; petrobras.biz; CN=NO00089359,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00090711; Desligado - 1; True; 10.28.38.63; ; Windows 10 Enterprise; petrobras.biz; CN=NO00090711,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00063503; Desligado - DNS_ERRO; True; 10.24.215.136; 255.255.248.0 64; Windows 7 Enterprise; petrobras.biz; CN=NO00063503,OU=TIC,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00071876; Desligado - DNS_ERRO; True; 10.24.213.44; ; Windows 7 Enterprise; petrobras.biz; CN=NO00071876,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00081599; Ligado - 0; True; 10.24.156.7; 255.255.255.0 64 255.255.248.0 64; Windows 7 Enterprise; petrobras.biz; CN=NO00081599,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00078564; Desligado - 1; True; 10.24.156.7; 255.255.255.0 64 255.255.248.0 64; Windows 7 Enterprise; petrobras.biz; CN=NO00078564,OU=TIC,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00063988; Desligado - 1; True; 10.24.156.7; 255.255.255.0 64 255.255.248.0 64; Windows 7 Enterprise; petrobras.biz; CN=NO00063988,OU=GERAL,OU=TIC-BC,OU=Notebooks,DC=petrobras,DC=biz
NO00076716; Desligado - 1; True; 10.24.156.7; 255.255.255.0 64 255.255.248.0 64; Windows 10 Enterprise; petrobras.biz; CN=NO00076716,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00058297; Desligado - DNS_ERRO; True; 10.24.209.162; 255.255.248.0 64; Windows 7 Enterprise; petrobras.biz; CN=NO00058297,OU=CENPES,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00050148; Desligado - 1; True; 10.24.209.162; 255.255.248.0 64; Windows 7 Enterprise; petrobras.biz; CN=NO00050148,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00071009; Desligado - 1; True; 10.24.209.162; 255.255.248.0 64; Windows 7 Enterprise; petrobras.biz; CN=NO00071009,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00070838; Desligado - 1; True; 10.24.209.162; 255.255.248.0 64; Windows 7 Enterprise; petrobras.biz; CN=NO00070838,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00071814; Desligado - 1; True; 10.24.209.162; 255.255.248.0 64; Windows 7 Enterprise; petrobras.biz; CN=NO00071814,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00092046; Desligado - 1; True; 10.24.209.162; 255.255.248.0 64; Windows 10 Enterprise; petrobras.biz; CN=NO00092046,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00093082; Desligado - 1; True; 10.24.209.162; 255.255.248.0 64; Windows 10 Enterprise; petrobras.biz; CN=NO00093082,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00092038; Ligado - 0; True; 10.24.235.20; 255.255.248.0 64; Windows 10 Enterprise; petrobras.biz; CN=NO00092038,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00089377; Desligado - 1; True; 10.24.235.20; 255.255.248.0 64; Windows 10 Enterprise; petrobras.biz; CN=NO00089377,OU=TIC,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00081574; Desligado - 1; True; 10.24.235.20; 255.255.248.0 64; Windows 7 Enterprise; petrobras.biz; CN=NO00081574,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00092027; Ligado - 0; True; 10.24.239.37; 255.255.248.0 64; Windows 10 Enterprise; petrobras.biz; CN=NO00092027,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00056064; Ligado - 0; True; 10.24.239.53; 255.255.248.0 64; Windows 7 Enterprise; petrobras.biz; CN=NO00056064,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00060172; Desligado - 1; True; 10.24.239.53; 255.255.248.0 64; Windows 7 Enterprise; petrobras.biz; CN=NO00060172,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00066854; Desligado - 1; True; 10.24.239.53; 255.255.248.0 64; Windows 7 Enterprise; petrobras.biz; CN=NO00066854,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00058377; Desligado - 1; True; 10.24.239.53; 255.255.248.0 64; Windows 7 Enterprise; petrobras.biz; CN=NO00058377,OU=TIC,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00080244; Desligado - 1; True; 10.24.239.53; 255.255.248.0 64; Windows 7 Enterprise; petrobras.biz; CN=NO00080244,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00076227; Desligado - 1; True; 10.24.239.53; 255.255.248.0 64; Windows 7 Enterprise; petrobras.biz; CN=NO00076227,OU=GERAL,OU=TIC-BC,OU=Notebooks,DC=petrobras,DC=biz
NO00093029; Desligado - DNS_ERRO; True; 10.24.213.158; 255.255.248.0 64; Windows 10 Enterprise; petrobras.biz; CN=NO00093029,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00093019; Desligado - 1; True; 10.24.213.158; 255.255.248.0 64; Windows 10 Enterprise; petrobras.biz; CN=NO00093019,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00077875; Ligado - 0; True; 10.24.145.148; 255.255.255.0 64 255.255.248.0 64; Windows 7 Enterprise; petrobras.biz; CN=NO00077875,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00082083; Ligado - 0; True; 10.24.237.173; 255.255.255.0 64 255.255.248.0 64; Windows 7 Enterprise; petrobras.biz; CN=NO00082083,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00069973; Desligado - 1; True; 10.24.237.173; 255.255.255.0 64 255.255.248.0 64; Windows 7 Enterprise; petrobras.biz; CN=NO00069973,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00091182; Ligado - 0; True; 10.24.232.245; 255.255.248.0 64; Windows 10 Enterprise; petrobras.biz; CN=NO00091182,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00070811; Desligado - 1; True; 10.24.232.245; 255.255.248.0 64; Windows 7 Enterprise; petrobras.biz; CN=NO00070811,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00062663; Desligado - 1; True; 10.24.232.245; 255.255.248.0 64; Windows 7 Enterprise; petrobras.biz; CN=NO00062663,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00082414; Desligado - 1; True; 10.24.232.245; 255.255.248.0 64; Windows 7 Enterprise; petrobras.biz; CN=NO00082414,OU=GERAL,OU=TIC-BC,OU=Notebooks,DC=petrobras,DC=biz
NO00036567; Desligado - 1; True; 10.24.232.245; 255.255.248.0 64; Windows 7 Enterprise; petrobras.biz; CN=NO00036567,OU=CENPES,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00093097; Desligado - 1; True; 10.24.232.245; 255.255.248.0 64; Windows 10 Enterprise; petrobras.biz; CN=NO00093097,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00093074; Desligado - 1; True; 10.24.232.245; 255.255.248.0 64; Windows 10 Enterprise; petrobras.biz; CN=NO00093074,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00093094; Ligado - 0; True; 10.24.238.6; 255.255.248.0 64; Windows 10 Enterprise; petrobras.biz; CN=NO00093094,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00090564; Desligado - 1; True; 10.24.238.6; 255.255.248.0 64; Windows 10 Enterprise; petrobras.biz; CN=NO00090564,OU=COMPERJ,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00091055; Desligado - 1; True; 10.24.238.6; 255.255.248.0 64; Windows 7 Enterprise; petrobras.biz; CN=NO00091055,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00072035; Desligado - DNS_ERRO; True; 10.24.213.220; ; Windows 7 Enterprise; petrobras.biz; CN=NO00072035,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00092842; Desligado - 1; True; 10.24.213.220; ; Windows 7 Enterprise; petrobras.biz; CN=NO00092842,OU=TIC,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00088956; Desligado - 1; True; 10.24.213.220; ; Windows 10 Enterprise; petrobras.biz; CN=NO00088956,OU=TIC,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00053106; Desligado - 1; True; 10.24.213.220; ; Windows 7 Enterprise; petrobras.biz; CN=NO00053106,OU=TIC,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00091949; Desligado - 1; True; 10.24.213.220; ; Windows 10 Enterprise; petrobras.biz; CN=NO00091949,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00077933; Ligado - 0; True; 10.24.233.227; 255.255.248.0 64; Windows 7 Enterprise; petrobras.biz; CN=NO00077933,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00070933; Desligado - DNS_ERRO; True; 10.28.37.39; 255.255.240.0 64 255.255.255.255 64; Windows 7 Enterprise; petrobras.biz; CN=NO00070933,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00082080; Ligado - 0; True; 10.24.144.3; 255.255.255.0 64 255.255.248.0 64; Windows 7 Enterprise; petrobras.biz; CN=NO00082080,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00089159; Desligado - 1; True; 10.24.144.3; 255.255.255.0 64 255.255.248.0 64; Windows 7 Enterprise; petrobras.biz; CN=NO00089159,OU=TIC,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00059400; Desligado - DNS_ERRO; True; 10.24.210.145; 255.255.255.0 64 255.255.248.0 64; Windows 7 Enterprise; petrobras.biz; CN=NO00059400,OU=TIC,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00091571; Ligado - 0; True; 10.24.237.111; 255.255.248.0 64; Windows 10 Enterprise; petrobras.biz; CN=NO00091571,OU=TIC,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00053415; Desligado - 1; True; 10.24.237.111; 255.255.248.0 64; Windows 7 Enterprise; petrobras.biz; CN=NO00053415,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00052105; Ligado - 0; True; 10.24.238.72; 255.255.255.0 64 255.255.248.0 64; Windows 7 Enterprise; petrobras.biz; CN=NO00052105,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00059077; Desligado - 1; True; 10.24.238.72; 255.255.255.0 64 255.255.248.0 64; Windows 7 Enterprise; petrobras.biz; CN=NO00059077,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00057682; Desligado - 1; True; 10.24.238.72; 255.255.255.0 64 255.255.248.0 64; Windows 7 Enterprise; petrobras.biz; CN=NO00057682,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00091421; Desligado - 1; True; 10.24.238.72; 255.255.255.0 64 255.255.248.0 64; Windows 10 Enterprise; petrobras.biz; CN=NO00091421,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00091785; Desligado - 1; True; 10.24.238.72; 255.255.255.0 64 255.255.248.0 64; Windows 10 Enterprise; petrobras.biz; CN=NO00091785,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00091422; Ligado - 0; True; 10.24.232.253; 255.255.248.0 64; Windows 10 Enterprise; petrobras.biz; CN=NO00091422,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00080895; Ligado - 0; True; 10.24.148.35; 255.255.255.0 64 255.255.248.0 64; Windows 7 Enterprise; petrobras.biz; CN=NO00080895,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00091399; Desligado - 1; True; 10.24.148.35; 255.255.255.0 64 255.255.248.0 64; Windows 10 Enterprise; petrobras.biz; CN=NO00091399,OU=TIC,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00066161; Desligado - 1; True; 10.24.148.35; 255.255.255.0 64 255.255.248.0 64; Windows 7 Enterprise; petrobras.biz; CN=NO00066161,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00091428; Desligado - DNS_ERRO; True; 10.24.146.27; ; Windows 7 Enterprise; petrobras.biz; CN=NO00091428,OU=TIC,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00041092; Desligado - 1; True; 10.24.146.27; ; Windows 7 Enterprise; petrobras.biz; CN=NO00041092,OU=GERAL,OU=TIC-BC,OU=Notebooks,DC=petrobras,DC=biz
NO00063949; Desligado - 1; True; 10.24.146.27; ; Windows 7 Enterprise; petrobras.biz; CN=NO00063949,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00075405; Desligado - 1; True; 10.24.146.27; ; Windows 7 Enterprise; petrobras.biz; CN=NO00075405,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00094007; Ligado - 0; True; 10.24.236.14; 255.255.248.0 64; Windows 7 Enterprise; petrobras.biz; CN=NO00094007,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
